,heading,article,year,month,value
0,Man gets 3-yearjail term in POCSO case,"The Third Additional District and Sessions Court on Friday awarded three years imprisonment to Kokkiligadda Rajashekar (24), who allegedly misbehaved with a minor girl in 2014.The accused went to her house located at Nalla Gate down, in the city, and knocked the door around 11 p.m. on June 30, 2014 and misbehaved with her. Following a complaint, the Krishnalanka police registered a case under Section 8 of Protection of Children from Sexual Offences (POCSO) Act, and other sections and arrested him.In all, nine witnesses were examined and as the guilt was proved , the judge awarded the jail term, besides imposing a fine of ₹1,000, the police said.",2018,6,1
1,In pictures: 15 other products Jayalalithaa may come up with after “Amma salt”,"After idlis, vegetables, drinking water and salt, Amma is reportedly on the lookout for other products she could Amma-genize. After brainstorming with her advisers, the AIADMK supremo has come up with the following list of products/services that might soon dot the streets of Chennai.Ammadent toothpaste: Now teeth-care is affordable! Amma will follow the launch of this product with a law that will make brushing teeth compulsory. Washing powder Amma:Now every Chennai-ite can get “Doodh si safedi” with washing powder Amma. Air Amma:Amma is all set to shake up the aviation sector. Amma Balm:Corrupt DMK leaders giving you a splitting headache? Relief’s here. Amma All Clear shampoo:By the time Tamil Nadu goes to polls, every Chennai-ite will sport silky smooth hair. AmmaMix ayurvedic soap:Don’t forget to wash your hands with AmmaMix ayurvedic soap. AmmaMail:Amma’s mail promises even more storage space! Ammazon:Amma will soon storm the e-commerce space as well and give Flipkart a run for its money. Ammabook:Register to Amma’s social networking service. Amma has done away with the “Like” button and instead introduced the “Prostrate” button. AmmaRCTC:Amma’s own train ticket booking service complete with a customized “Service unavailable” page. Ammato:Want to find your way to the nearest Amma’s unavagam to feast on delicious 1 rupee idlis? Log on to Ammato! AmmaPhone:Step aside iPhone. Say hi to AmmaPhone. Amma Johns Pizza:If you are sick of eating Amma’s 1 rupee idlis, you could try Amma’s pizzas for a change… AmmaBucks Coffee:…and wash it down with Ammabucks premium (but cheap) coffee. McAmma’s:Looking for just a quick bite? Walk into the nearest McAmma’s and grab a McAmma burger!(Images via indiatoday.com, modified for post’s purposes) ",2014,6,0
2,COMIC: Modi govt acts on Shah Rukh Khan’s detention in Los Angeles airport,"The moment Sushma Swaraj heard about SRK’s predicament at an US airport, she jumped in like she has countless times to help the poor stuck-at-US-Airport-just-like-any-other-guy superstar. This is how it went:        (Image sources via intoday.in)",2016,8,0
3,Supercomputer to forecast monsoon with dynamical model,"Next year, India’s annual summer monsoon forecast may be made by a supercomputer running a dynamical model.The Secretary, Ministry of Earth Sciences (MoES), Madhavan Rajeevan, said the dynamical model, being tested at the Indian Institute of Tropical Meteorology, (IITM) Pune for a decade was “ready for operational purposes next year.” A dynamical monsoon model works by simulating the weather on powerful computers and extrapolating it over particular timeframes.Though this method is normally effective in forecasting weather over a few days, using it to forecast the annual monsoon over 3 or 4 months has proved difficult.While such models have been used for research purposes for long, the India Meteorological Department (IMD) has never integrated them into its operational forecast. “We hope to be able to launch it next year though discussions are still ongoing,” Mr. Rajeevan said, on the sidelines of an Earth Sciences Ministry foundation day event on Wednesday. The IMD, a division of MoES, is the official national weather forecaster. Mr. Rajeevan clarified that statistical models would still be in use next year. The IMD Director-General, L.S. Rathore, said, “We are ready to use the dynamical model, but this doesn’t mean one is abandoned for the other. Both have their role and we must use what’s best.”The IMD relies on an ensemble model, a statistical technique that uses an average of six meteorological values correlated to the monsoon such as sea surface temperatures in the Pacific, and North Atlantic sea level pressure. These values are derived from century-old meteorological data linked to the historical performance of the monsoon.Prediction failuresThis traditional approach in recent decades has failed to predict monsoon failures — in 2002 and 2004 for instance — leading to calls by meteorologists for a new, modern forecasting system.Though the dynamical model, called the Coupled Forecast System version 2, has so far achieved only 60 per cent accuracy in forecasting the monsoon, Mr. Rajeevan says it is good enough for now. “No doubt it needs to improve and the aim is to make that 77 per cent but we have to start somewhere,” he added. A confidence boost came when the dynamical model and the ensemble technique correctly signalled a drought in 2015.While the IMD has for some years put out the dynamical model’s forecast along with the traditional one, its plans to give prominence to the dynamical model signals a new approach. This is a precursor to giving monsoon predictions over India’s 36 sub-divisions rather than only four broad geographic regions that encompass them. A dynamical approach can also be more easily tuned to account for rapidly changing global weather conditions.",2016,9,1
4,"REVEALED: Underground group of non-BJP politicians, sympathizers play BINGO before every election","An intrepid The UnReal Times investigation has brought to light something astounding. There exists an underground group of non-BJP politicians, sympathizers, media persons, intellectuals and sundry other anti Right Wing personalities who play a customized version of the popular game BINGO before every assembly or general election in India.Our reporter managed to click a photo of a half-filled BINGO grid of one of the players from an ongoing game. We reproduce it here:As per the rules of the game, each player carries with him or her a grid like this where the same elements are distributed in random fashion. After a designated launch date, the players start ticking off incidents referred to in the grid’s cells as and when they happen. The first person to strike off four elements in a row – horizontally, vertically or diagonally – wins the game.“I only need two more incidents to get BINGO. Fingers crossed!” said an excited Samajwadi Party leader who is part of this underground group of players.According to sources, the game was originally conceived by a bunch of bored Congress leaders in the late nineties, who played the game to amuse themselves. Later, as 24×7 news channels came into prominence, interest in the game grew and the pool of players expanded to include regional anti-BJP parties, prominent intellectuals and some media persons.A game is typically launched a few months before an election. If it is a big one, such as the General elections or the assembly election of an important state such as UP, the game may be launched more than an year in advance. A computer program picks elements from a pool of incidents, prints randomized grids and randomly assigns it to participants. Players exchange whispered updates on their BINGO grids during inter-party meets, weddings, news debates and various other occasions.Congress leader Ahmed Patel is said to be the reigning BINGO champion, and has won as many as seven BINGO titles. “It is crazy how often he wins. It’s uncanny. Events happen according to their positions in his BINGO grid. It’s almost as if he had something to do with it,” said another BINGO player, shaking his head in awe.",2016,9,0
5,None,"Allegation of rape against bishop A Division Bench of the Kerala High Court on Monday asked the State government to inform the court about the progress of the investigation into the allegation of rape levelled by a nun against Jalandhar bishop Franco Mulakkal.The Bench comprising Chief Justice Hrishikesh Roy and Justice A.K.Jayasankaran Nambiar passed the order while hearing two public interest litigations filed by the Kerala Catholic Church Reformation Movement, Pala, and George Vattukkulam from Thrissur seeking a directive to arrest the bishop and to conduct a time-bound investigation.The court orally observed that nobody was above law and no one should have any misconception about it.The counsel for the petitioner submitted that the police had filed a report in the High Court earlier saying the evidence collected so far revealed that the accused bishop committed an unnatural offence and committed rape repeatedly on different dates on the victim.Despite the evidence, no steps had been taken to arrest the bishop, the counsel argued. The delay in the arrest had given an opportunity for the accused to intimidate the witnesses.The counsel pointed out that while disposing of a petition filed by the Catholic Reform Movement earlier seeking arrest, a single judge had observed that it was within the discretion of the investigation officer to take a call on the arrest of the bishop after interrogating him. It was also submitted that notwithstanding the lodging of a complaint with the Kuravilangad police station by one of the nuns who had deposed before the investigation officer that there was threat to her life as well as the lives of other witnesses, no case had been registered by the police till date and no protection had been given to them.The government pleader then sought two days time to get instructions from the police and report on the progress of the investigation.",2018,9,1
6,"Kids land up outside Hema Malini's house for Halloween, get a demo of Kent RO instead of candies","‘Trick or Treat’ screamed the bunch of kids who excitedly gathered outside Hema Malini’s house hoping to get their share of candies on Halloween.But sadly for them it did not quite turn out as expected. The Bollywood actress gave the kids a demo of Kent water purifier instead.Apparently the actress was adamant and turned a deaf ear to the persistent requests of the kids for chocolates. “Kids should be kept away from chocolates and candies. There cannot be a better treat than a demo of Kent water purifier. Kent deta hai sabse shudh paani,” she said while explaining the features of the latest model to our reporter.The incident has divided Bollywood with many agreeing with the actress. Karan Johar however had a different view and thought Hemaji was taking her brand endorsement a bit too far. “The kids at her doorstep were not ordinary kids. They are star kids and the default passengers of my Bollywood launch vehicle. I think they deserve better treatment,” he said.",2017,10,0
7,Digital photography moves up a level,"This Android app creates interactive photos that move as you tilt and rotate the phone in your handFyuse is somewhere between a video, a photo, and a GIF. It is an iOS and Android app that creates interactive photos that move as you tilt and rotate the phone in your hand.You can control how fast the photo moves by turning your hand, the resulting effect is more immersive than a photo, but very different from a video or a GIF. The makers have called this “spatial photography”. The whole effect is worth checking out.The presence of giants like Instagram and Vine can make it difficult for newcomers like Fyuse to gain enough traction. The community of Fyuse is a lot smaller than Instagram’s, but the app provides us with a fresh approach to shooting and sharing what is around us.When you create a new Fyuse, all you have to think is, “point, shoot, tilt”. You will have to fire up the camera in the app, point it at whatever you want to click, press and hold the screen, and start tilting or moving your phone in one direction.When you begin recording, the app shows arrows to guide you.It is possible to record up to 360 degrees in one direction. When you reach the limit, the app automatically stops recording. You can also stop capturing by lifting your finger.You will be able to shoot in only one direction with each Fyuse – either horizontally or vertically. Irrespective of how you move the phone, you can shoot in either the landscape mode or the portrait mode.Each Fysue has a spot in which comments can be left. You can “echo” it, which shares it with your followers, not unlike a retweet on Twitter. The app also has option to share it on Facebook, Twitter, in a text, via email, or by simply copying the direct link. If the Fyuse is yours, you can edit or delete it.",2016,3,1
8,Nun’s sister joins hunger strike," The sister of the nun who has accused Jalandhar Bishop Franco Mulakkal of raping her repeatedly joined the hunger strike and public protest in Kochi on Monday demanding the bishop’s arrest.She came to the venue of the protest at Kerala High Court Junction at 11 a. m. She was garlanded before she briefly addressed the audience and joined the hunger strike on the podium. Later in the afternoon, writer and social activist P. Geetha joined the hunger strike in support of the demand.The sister of the nun said she expected the courts of law to deliver justice even though the government appeared to have failed them.Sister Jesme, writer and a former Catholic nun who left her religious order, was among the speakers on Monday, the 10th day of the public protest being spearheaded by the Save Our Sisters Action Council. The action council comprises various Church reform-minded lay and religious organisations.Sister Jesme said the nuns who launched the public protest had made history. She compared it to the “me too” campaign against abuses and they were making history now. She appealed to them not to go back but to fight for justice with courage and grace. She said she was called a mad woman, she was described as a “fallen angel” and “Judas” for her campaign against the injustices within the Church. She said evil would have only temporary victory and ultimately the good and just would win.Meanwhile, the public protest by the nuns demanding the bishop’s arrest has gone from strength to strength with the organisers claiming that around a hundred organisations had come out in support and solidarity with them. Students from the Government Law College were among those who spoke at the venue, offering legal support. Members of the Sree Narayana Sahodara Dharmavedhi too marched in support of the protesters. P.V. Shaji from Kottappuram expressed solidarity with the protesters by running backward from Menaka Junction to the venue of the protest action on Monday.",2018,9,1
9,Tremors felt in north India as quake hits Afghanistan-Tajikistan border ,"The quake, with 6.1 magnitude, occurred at 4.01 p.m., says official. Tremors were felt in several north Indian States, including Delhi, Punjab, Haryana, Rajasthan and Jammu and Kashmir, on Wednesday as an earthquake hit the Afghanistan-Tajikistan border.The epicentre of the quake, with 6.1 magnitude, was in the Afghanistan-Tajikistan border and the temblor occurred at 4.01 p.m. IST, J.L Gautam, Head (Operations), National Seismological Centre (NSC), said.Officials said there were no reports of loss of life or damage to property in India.Tremors were felt in Srinagar and other parts of the Kashmir Valley. In some areas, panic-stricken people rushed out of buildings and vehicles into open spaces.Similar scenes were witnessed in some parts of Rajasthan, a Met. department official said.",2018,5,1
